Date,Close/Last,Volume,Open,High,Low,returns,MA_5
2024-02-12,187.15,41781930.0,188.42,188.67,186.79,-0.009001853322742837,0.006989722804037395
2024-02-13,185.04,56529530.0,185.77,186.21,183.51,-0.011274378840502308,0.006063143174908533
2024-02-14,184.15,54630520.0,185.32,185.53,182.44,-0.00480977086035439,0.005367049232013602
2024-02-15,183.86,65434500.0,183.55,184.49,181.35,-0.0015748031496062298,0.005655724604308686
2024-02-16,182.31,49752470.0,183.42,184.85,181.67,-0.008430327423039286,0.003825956456175727
2024-02-20,181.56,53665550.0,181.79,182.43,180.0,-0.004113871976304084,0.003816863924099289
2024-02-21,182.32,41529670.0,181.94,182.89,180.66,0.004185944040537404,0.004681350973207133
2024-02-22,184.37,52292210.0,183.48,184.96,182.46,0.011243966652040527,0.007649829828296539
2024-02-23,182.52,45119680.0,185.01,185.04,182.23,-0.010034170418180777,0.008977858306532065
2024-02-26,181.16,40867420.0,182.24,182.76,180.65,-0.007451238220469114,0.008795825120072312
2024-02-27,182.63,54318850.0,181.1,183.92,179.56,0.008114374034003058,0.009469101206765963
2024-02-28,181.42,48953940.0,182.51,183.12,180.13,-0.006625417510814247,0.009847008589056067
2024-02-29,180.75,136682600.0,181.27,182.57,179.53,-0.0036930878624186203,0.007107180369299421
2024-03-01,179.66,73563080.0,179.55,180.53,177.38,-0.006030428769018048,0.006443141497561479
2024-03-04,175.1,81510100.0,176.15,176.9,173.79,-0.025381275743070253,0.012020279391545617
2024-03-05,170.12,95132360.0,170.76,172.04,169.62,-0.02844089091947455,0.011855356208252496
2024-03-06,169.12,68587710.0,171.06,171.24,168.68,-0.005878203620973466,0.011976189572131195
2024-03-07,169.0,71765060.0,169.15,170.73,168.49,-0.0007095553453169146,0.012665426501628784
2024-03-08,170.73,76267040.0,169.0,173.7,168.94,0.010236686390532546,0.01650355372610876
2024-03-11,172.75,60139470.0,172.94,174.38,172.05,0.01183154688689747,0.01624131916712579
2024-03-12,173.23,59825370.0,173.15,174.03,171.01,0.002778581765557009,0.007430913259118228
2024-03-13,171.13,52488690.0,172.77,173.19,170.76,-0.01212261155688965,0.00963180398965848
2024-03-14,173.0,72913510.0,172.91,174.31,172.05,0.010927365160988689,0.010086890589400092
2024-03-15,172.62,121752700.0,171.17,172.62,170.29,-0.0021965317919074856,0.009921258906621915
2024-03-18,173.72,75604180.0,175.57,177.71,173.52,0.006372378635152387,0.00884426173260151
2024-03-19,176.08,55215240.0,174.34,176.61,173.03,0.01358507943817644,0.010505558231611116
2024-03-20,178.67,53423100.0,175.72,178.67,175.09,0.014709223080417777,0.006875428066008793
2024-03-21,171.37,106181300.0,177.05,177.49,170.84,-0.04085744668942737,0.022921655628688736
2024-03-22,172.28,71160140.0,171.76,173.05,170.06,0.005310147633774909,0.023124101910857314
2024-03-25,170.85,54288330.0,170.57,171.94,169.45,-0.008300441142326531,0.023016079614428635
2024-03-26,169.71,57388450.0,170.0,171.42,169.58,-0.00667251975417027,0.021040577654633776
2024-03-27,173.31,60273270.0,170.41,173.6,170.11,0.02121265688527485,0.022853545422571796
2024-03-28,171.48,65672690.0,171.75,172.23,170.51,-0.010559113726847924,0.013256063674816548
2024-04-01,170.03,46240500.0,171.19,171.25,169.48,-0.008455796594354914,0.013358057621274438
2024-04-02,168.84,49329480.0,169.08,169.34,168.23,-0.0069987649238369976,0.013230164453178104
2024-04-03,169.65,47691720.0,168.79,170.68,168.58,0.00479744136460547,0.013275638802153659
2024-04-04,168.82,53704390.0,170.29,171.92,168.82,-0.004892425582080806,0.005970698056715261
2024-04-05,169.58,42104830.0,169.59,170.39,168.95,0.004501836275322857,0.006389261131246675
2024-04-08,170.09,37425510.0,169.03,169.2,168.24,0.0030074301214766397,0.005594877502001589
2024-04-09,169.67,42451210.0,168.7,170.08,168.35,-0.002469280968898868,0.004400828859929377
2024-04-10,167.78,49709340.0,168.8,169.09,167.11,-0.011139270348323183,0.006309994974320633
2024-04-11,175.04,91070280.0,168.34,175.46,168.16,0.04327095005364168,0.020949465619505035
2024-04-12,176.55,101670900.0,174.26,178.36,174.21,0.008626599634369292,0.020886237495567846
2024-04-15,172.69,73531770.0,175.36,176.63,172.5,-0.02186349476069105,0.02500513448061492
2024-04-16,169.38,73711240.0,171.75,173.76,168.27,-0.01916729399502004,0.02700120086984752
2024-04-17,168.0,50901210.0,169.61,170.65,168.0,-0.008147360963513983,0.02672588335991205
2024-04-18,167.04,43122900.0,168.03,168.64,166.55,-0.005714285714285783,0.012152600780796406
2024-04-19,165.0,68149380.0,166.21,166.4,164.08,-0.012212643678160884,0.006945510262564539
2024-04-22,165.84,48116440.0,165.52,167.26,164.77,0.005090909090909035,0.008931242735469283
2024-04-23,166.9,49537760.0,165.35,167.05,164.92,0.006391702846116676,0.008251803171620126
2024-04-24,169.02,48251840.0,166.54,169.3,166.21,0.012702216896345098,0.01002605356656374
2024-04-25,169.89,50558330.0,169.53,170.61,168.15,0.0051473198438052314,0.009289047470390133
2024-04-26,169.3,44838350.0,169.88,171.34,169.18,-0.003472835364058957,0.0057648114618314055
2024-04-29,173.5,68169420.0,173.37,176.03,173.1,0.024808033077377445,0.010497045348320468
2024-04-30,170.33,65934780.0,173.33,174.99,170.0,-0.0182708933717578,0.0162917778429356
2024-05-01,169.3,50383150.0,169.58,172.71,169.11,-0.006047085070157943,0.01599570042808505
2024-05-02,173.03,94214920.0,172.51,173.42,170.89,0.022031896042528087,0.018779793379201895
2024-05-03,183.38,163224100.0,186.65,187.0,182.66,0.05981621684101013,0.030386266478206296
